Council,CouncilLabel
http://www.wikidata.org/entity/Q105536112,Ettrick and Lauderdale District Council
http://www.wikidata.org/entity/Q5420103,Exeter City Council
http://www.wikidata.org/entity/Q28530255,Falkirk Council
http://www.wikidata.org/entity/Q73072624,Fareham Borough Council
http://www.wikidata.org/entity/Q73072625,Fenland District Council
http://www.wikidata.org/entity/Q16992116,Fermanagh and Omagh District Council
http://www.wikidata.org/entity/Q28530258,Fife Council
http://www.wikidata.org/entity/Q28530258,Fife Council
http://www.wikidata.org/entity/Q105582199,Fife Regional Council
http://www.wikidata.org/entity/Q55099243,Folkestone & Hythe District Council
http://www.wikidata.org/entity/Q73072627,Forest Heath District Council
http://www.wikidata.org/entity/Q28401332,Forest of Dean District Council
http://www.wikidata.org/entity/Q73072630,Fylde Borough Council
http://www.wikidata.org/entity/Q54666929,Gateshead Council
http://www.wikidata.org/entity/Q73072632,Gedling Borough Council
http://www.wikidata.org/entity/Q16839203,Glamorgan County Council
http://www.wikidata.org/entity/Q130637,Glasgow City Council
http://www.wikidata.org/entity/Q105536113,Glasgow District Council
http://www.wikidata.org/entity/Q28401303,Gloucester City Council
http://www.wikidata.org/entity/Q16839354,Gloucestershire County Council
http://www.wikidata.org/entity/Q105456585,Glyndwr District Council
http://www.wikidata.org/entity/Q105536115,Gordon District Council
http://www.wikidata.org/entity/Q73072634,Gosport Borough Council
http://www.wikidata.org/entity/Q105582202,Grampian Regional Council
http://www.wikidata.org/entity/Q55098935,Gravesham Borough Council
http://www.wikidata.org/entity/Q73072635,Great Yarmouth Borough Council
http://www.wikidata.org/entity/Q23099,Greater Manchester
http://www.wikidata.org/entity/Q5600634,Greater Manchester Combined Authority
http://www.wikidata.org/entity/Q5604860,Greenwich London Borough Council
http://www.wikidata.org/entity/Q73072637,Guildford Borough Council
http://www.wikidata.org/entity/Q56178073,Gwent County Council
http://www.wikidata.org/entity/Q5637369,Hackney London Borough Council
http://www.wikidata.org/entity/Q16983144,Halton Borough Council
http://www.wikidata.org/entity/Q73072640,Hambleton District Council
http://www.wikidata.org/entity/Q105536116,Hamilton District Council
http://www.wikidata.org/entity/Q5645758,Hammersmith and Fulham London Borough Council
http://www.wikidata.org/entity/Q5646045,Hampshire County Council
http://www.wikidata.org/entity/Q73072642,Harborough District Council
http://www.wikidata.org/entity/Q5657624,Haringey London Borough Council
http://www.wikidata.org/entity/Q73072645,Harlow District Council
http://www.wikidata.org/entity/Q73072647,Harrogate Borough Council
http://www.wikidata.org/entity/Q5666565,Harrow London Borough Council
http://www.wikidata.org/entity/Q73072649,Hart District Council
http://www.wikidata.org/entity/Q16993720,Hartlepool Borough Council
http://www.wikidata.org/entity/Q73072650,Hastings Borough Council
http://www.wikidata.org/entity/Q73072652,Havant Borough Council
http://www.wikidata.org/entity/Q5683826,Havering London Borough Council
http://www.wikidata.org/entity/Q85766344,Hereford and Worcester County Council
http://www.wikidata.org/entity/Q5738061,Herefordshire Council
http://www.wikidata.org/entity/Q16842680,Herefordshire County Council
http://www.wikidata.org/entity/Q5744765,Hertfordshire County Council
http://www.wikidata.org/entity/Q15223753,Hertsmere Borough Council
http://www.wikidata.org/entity/Q5756024,High Peak Borough Council
http://www.wikidata.org/entity/Q28530249,Highland Council
http://www.wikidata.org/entity/Q28530249,Highland Council
http://www.wikidata.org/entity/Q105582196,Highland Regional Council
http://www.wikidata.org/entity/Q5763303,Hillingdon London Borough Council
http://www.wikidata.org/entity/Q73072654,Hinckley and Bosworth Borough Council
http://www.wikidata.org/entity/Q73072656,Horsham District Council
http://www.wikidata.org/entity/Q5913301,Hounslow London Borough Council
http://www.wikidata.org/entity/Q5935834,Hull City Council
http://www.wikidata.org/entity/Q71442437,Humberside County Council
http://www.wikidata.org/entity/Q73072657,Huntingdonshire District Council
http://www.wikidata.org/entity/Q65089006,Hyndburn Borough Council
http://www.wikidata.org/entity/Q28530261,Inverclyde Council
http://www.wikidata.org/entity/Q105536117,Inverclyde District Council
http://www.wikidata.org/entity/Q105536118,Inverness District Council
http://www.wikidata.org/entity/Q16191496,Ipswich Borough Council
http://www.wikidata.org/entity/Q6083890,Isle of Anglesey County Council
http://www.wikidata.org/entity/Q6084095,Isle of Wight Council
http://www.wikidata.org/entity/Q6084379,Islington London Borough Council
http://www.wikidata.org/entity/Q105544687,Kennet District Council
http://www.wikidata.org/entity/Q6391507,Kensington and Chelsea London Borough Council
http://www.wikidata.org/entity/Q6386127,Kent County Council
http://www.wikidata.org/entity/Q105544688,Kerrier District Council
http://www.wikidata.org/entity/Q6395462,Kettering Borough Council
http://www.wikidata.org/entity/Q105536119,Kilmarnock and Loudoun District Council
http://www.wikidata.org/entity/Q105536121,Kincardine and Deeside District Council
http://www.wikidata.org/entity/Q15238498,Kincardine and Mearns
http://www.wikidata.org/entity/Q6413671,Kingston upon Thames London Borough Council
http://www.wikidata.org/entity/Q105536123,Kirkcaldy District Council
http://www.wikidata.org/entity/Q16995709,Kirklees Metropolitan Borough Council
http://www.wikidata.org/entity/Q16995750,Knowsley Metropolitan Borough Council
http://www.wikidata.org/entity/Q105536124,Kyle and Carrick District Council
http://www.wikidata.org/entity/Q6481450,Lambeth London Borough Council
http://www.wikidata.org/entity/Q56180023,Lampeter Rural District Council
http://www.wikidata.org/entity/Q6386149,Lancashire County Council
http://www.wikidata.org/entity/Q73072658,Lancaster City Council
http://www.wikidata.org/entity/Q105544689,Langbaurgh District Council
http://www.wikidata.org/entity/Q6515870,Leeds City Council
http://www.wikidata.org/entity/Q6519163,Leicester City Council
http://www.wikidata.org/entity/Q6386198,Leicestershire County Council
http://www.wikidata.org/entity/Q73072662,Lewes District Council
http://www.wikidata.org/entity/Q6537320,Lewisham London Borough Council
http://www.wikidata.org/entity/Q6543271,Lichfield District Council
http://www.wikidata.org/entity/Q16996347,Lincolnshire County Council
http://www.wikidata.org/entity/Q6658351,Liverpool City Council
http://www.wikidata.org/entity/Q16996746,Liverpool City Region Combined Authority
http://www.wikidata.org/entity/Q56180342,Llandilo Rural District Council
http://www.wikidata.org/entity/Q205358,London Borough of Barking and Dagenham
http://www.wikidata.org/entity/Q151048,London Borough of Barnet
http://www.wikidata.org/entity/Q207208,London Borough of Bexley
http://www.wikidata.org/entity/Q207201,London Borough of Brent
http://www.wikidata.org/entity/Q208201,London Borough of Bromley
http://www.wikidata.org/entity/Q202088,London Borough of Camden
http://www.wikidata.org/entity/Q26888,London Borough of Croydon
http://www.wikidata.org/entity/Q207218,London Borough of Ealing
http://www.wikidata.org/entity/Q210531,London Borough of Enfield
http://www.wikidata.org/entity/Q205679,London Borough of Hackney
http://www.wikidata.org/entity/Q40478,London Borough of Hammersmith and Fulham
http://www.wikidata.org/entity/Q213560,London Borough of Haringey
http://www.wikidata.org/entity/Q210476,London Borough of Harrow
http://www.wikidata.org/entity/Q215038,London Borough of Havering
http://www.wikidata.org/entity/Q205690,London Borough of Hillingdon
http://www.wikidata.org/entity/Q214162,London Borough of Hounslow
http://www.wikidata.org/entity/Q205817,London Borough of Islington
http://www.wikidata.org/entity/Q202059,London Borough of Lambeth
http://www.wikidata.org/entity/Q215030,London Borough of Lewisham
http://www.wikidata.org/entity/Q32504,London Borough of Merton
http://www.wikidata.org/entity/Q208139,London Borough of Newham
http://www.wikidata.org/entity/Q208955,London Borough of Redbridge
http://www.wikidata.org/entity/Q32515,London Borough of Richmond upon Thames
http://www.wikidata.org/entity/Q730706,London Borough of Southwark
http://www.wikidata.org/entity/Q320378,London Borough of Sutton
http://www.wikidata.org/entity/Q208152,London Borough of Tower Hamlets
http://www.wikidata.org/entity/Q40608,London Borough of Waltham Forest
http://www.wikidata.org/entity/Q210563,London Borough of Wandsworth
http://www.wikidata.org/entity/Q739384,London County Council
http://www.wikidata.org/entity/Q105582201,Lothian Regional Council
http://www.wikidata.org/entity/Q16997109,Luton Borough Council
http://www.wikidata.org/entity/Q56180961,Machynlleth Rural District Council
http://www.wikidata.org/entity/Q56180962,Machynlleth Urban District Council
http://www.wikidata.org/entity/Q16997208,Maidstone Borough Council
http://www.wikidata.org/entity/Q73072663,Maldon District Council
