id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
883,hwrc-wal-pow-wp3395ek,WP3395EK,,Vastre,,Unit 39,Newtown,,wal,SY16 1DZ,52.5136671,-3.304314385,,,pow,Powys County Council,,,Powys County Council,,,,,,42445,,,0,,,,,,,44276,,,Q7236943
884,hwrc-wal-pow-up3895cn,UP3895CN,,"G F Potter, Household Waste Recycling Site",,,Newtown,,wal,SY16 3DN,52.5168404,-3.297806032,,,pow,Powys County Council,,,James Edward Potter,,,,,,37383,,,0,,,,,,,44276,,,Q7236943
885,hwrc-wal-cgn-qp3198fu,QP3198FU,,Rheidol Recycling Park,,Glan-yr-afon Ind Est,Aberystwyth,,wal,SY23 3JQ,52.40124048,-4.045789247,,,cgn,Ceredigion County Council,,,C B Environmental Ltd,,,,,,39503,,,0,,,,,,,44276,,,Q5064127
886,hwrc-wal-cgn-tb3497tj,TB3497TJ,,Glan Yr Afon Waste Transfer Station,,,Aberystwyth,,wal,SY23 3JQ,52.40133886,-4.047895941,,,cgn,Ceredigion County Council,,,Cyngor Sir Ceredigion County Council,,,,,,34809,,,0,,,,,,,44276,,,Q5064127
887,hwrc-wal-cgn-xb3097ta,XB3097TA,,Cilmaenllwyd Civic Amenity Site,,Pen Parc,Cardigan,,wal,SA43 1RD,52.10324658,-4.624272378,,,cgn,Ceredigion County Council,,,D I Evans,,,,,,37561,,,0,,,,,,,44276,,,Q5064127
888,hwrc-wal-pem-bp3791la,BP3791LA,,Waterloo Recycling Centre,,Waterloo Ind Est,Pembroke Dock,,wal,SA72 4RT,51.6958678,-4.920922868,,,pem,Pembrokeshire County Council,,,Pembrokeshire County Council,,,,,,34978,,,0,,,,,,,44276,,,Q7161994
889,hwrc-wal-pem-qp3098fl,QP3098FL,,Withyhedge Material Recycling Facility,,"Withyhedge MRF, Bowling Farm",Haverfordwest,,wal,SA62 4DB,51.84261164,-4.957193476,,,pem,Pembrokeshire County Council,,,Resources Management U K Ltd,,,,,,43039,,,0,,,,,,,44276,,,Q7161994
890,hwrc-wal-pem-fp3798fx,FP3798FX,,Winsel Civic Amenity & Recycling Site,,"Old Hakin Road, Merlins Bridge",Haverfordwest,,wal,SA61 1XG,51.77801974,-5.003915091,,,pem,Pembrokeshire County Council,,,Pembrokeshire County Council,,,,,,43006,,,0,,,,,,,44276,,,Q7161994
891,hwrc-wal-pow-bp3090st,BP3090ST,,Potters Yard,,Severn Road,Welshpool,,wal,SY21 7AZ,52.65836263,-3.138223149,,,pow,Powys County Council,,,James Edward Potter,,,,,,43088,,,0,,,,,,,44276,,,Q7236943
892,hwrc-wal-pem-fp3198fa,FP3198FA,,Manorowen Civic Amenity and recycling centre,,Manorowen,Fishguard,,wal,SA65 9QE,51.9805407,-5.00785768,,,pem,Pembrokeshire County Council,,,Pembrokeshire County Council,,,,,,43012,,,0,,,,,,,44276,,,Q7161994
893,hwrc-wal-pem-fp3698fm,FP3698FM,,St Davids Civic Amenity and recyciling centre,,Fishguard Road,St Davids,,wal,SA62 6XE,51.89503176,-5.220604915,,,pem,Pembrokeshire County Council,,,Pembrokeshire County Council,,,,,,43012,,,0,,,,,,,44276,,,Q7161994
894,hwrc-wal-gwn-yp3794ev,YP3794EV,,Gwynedd Council,,,Dolgellau,,wal,LL40 2YF,52.74646436,-3.877735075,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,40689,,,0,,,,,,,44276,,,Q5623821
895,hwrc-wal-gwn-pp3392fd,PP3392FD,,Bala Civic Amenity Site,,Bala Industrial Estate,Bala,,wal,LL23 7NL,52.91011267,-3.591588324,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,38954,,,0,,,,,,,44276,,,Q5623821
896,hwrc-wal-wrx-np3095ew,NP3095EW,,Plas Madoc Household Waste Recycling Centre,,Wynnstay Industrial Estate,Wrexham,,wal,LL14 1TP,52.9828941,-3.055920733,,,wrx,Wrexham County Borough Council,,,F C C Recycling ( U K ) Limited,,,,,,39378,,,0,,,,,,,44276,,,Q8038115
897,hwrc-wal-gwn-pp3294fj,PP3294FJ,,Ffridd Rasus Waste Management Facility,,Morfa Road,Harlech,,wal,LL46 2UW,52.88345352,-4.112746727,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,43188,,,0,,,,,,,44276,,,Q5623821
898,hwrc-wal-wrx-dp3294fh,DP3294FH,,Bryn Lane Civic Amenity Site,,"Land / Premises At, Bryn Lane",Wrexham,,wal,LL13 9UT,53.04487473,-2.912849955,,,wrx,Wrexham County Borough Council,,,3C Waste Limited ,,,,,,38168,,,0,,,,,,,44276,,,Q8038115
899,hwrc-wal-wrx-np3395eq,NP3395EQ,,Brymbo Household Waste Recycling Centre,,"Off Solvay Road, Wrexham Road",Wrexham,,wal,LL11 5NR,53.0647417,-3.043953594,,,wrx,Wrexham County Borough Council,,,F C C Recycling ( U K ) Limited,,,,,,39378,,,0,,,,,,,44276,,,Q8038115
